number,content,sentiment,sentiment_score,stance,stance_score
462,西川ももう限界で彩艶も海外へ旅立ったし ここで佐藤が来てくれるのは大きいな,neutral (0.843),0.843,中立 (0.242),0.242
463,今年西川なら牲川残った意味が分からん 去年もオファーあったのに残ったみたいだし,neutral (0.764),0.764,強く反対 (0.257),0.257
464,牲川からしたら勝負の年だな やっと環境が整った,neutral (0.752),0.752,強く賛成 (0.223),0.223
465,佐藤190か サイズだけ見たらザイオンとほぼ同じか,neutral (0.840),0.84,中立 (0.229),0.229
466,西川が今年で引退しなければ牲川か吉田放出確定か,neutral (0.820),0.82,強く反対 (0.225),0.225
467,西川は最後は大分に戻ると去年イベント参加した時大分サポに約束してる 引退しに戻るってことだろうから記録達成までは残るんだろうが,neutral (0.803),0.803,強く反対 (0.242),0.242
468,天皇杯筑波大とやりたいね 面白そう て言うか西川放出して佐藤くん指定選手登録しちゃえよ,neutral (0.748),0.748,強く反対 (0.250),0.25
469,佐藤はでかくて本当に良いGK 来シーズンは必ずスイッチして欲しいわ,neutral (0.750),0.75,強く賛成 (0.244),0.244
470,ブラジルのフォワードネイマールは現在アル・ヒラルでプレーしておりフランスリーグとサウジアラビアリーグの基準を比較しましたがその結果は後者に軍配が上がりました サウジアラビアリーグのレベルは上昇しており私が見る限りリーグ・1よりも高いですフランスのチャンピオンシップには良い点があります強いです私はこれをよく理解していますなぜなら私はそのリーグでプレーしてきたからですしかし今サウジ・プロリーグの選手たちはより強いです サウジアラビアは私を良い意味で驚かせました人々都市文化成長を続けている国です2034年にはワールドカップも開催される予定でこれは素晴らしいことになると信じていますとネイマールはCNNに語りました,neutral (0.679),0.679,強く反対 (0.243),0.243
471,自分が今いるとこだから,neutral (0.776),0.776,強く反対 (0.237),0.237
472,クリロナの真似か,neutral (0.816),0.816,強く反対 (0.228),0.228
473,いわゆるリップサービスだろ,neutral (0.749),0.749,強く反対 (0.241),0.241
474,こういう発言すれば金貰えたりするんじゃね,neutral (0.736),0.736,中立 (0.241),0.241
475,サウジは王族が支配する国だからな 色々察する,neutral (0.765),0.765,中立 (0.239),0.239
476,ロナウドはまだしもお前はほとんどプレーしてないだろうよ,neutral (0.692),0.692,強く反対 (0.243),0.243
477,これは案件だろな ネイマールさんほとんどプレーしてないじゃないですかw,neutral (0.706),0.706,強く反対 (0.264),0.264
478,クリロナは自己顕示欲強いからガチかと思ってたけど あれも案件だったのかもなw,neutral (0.770),0.77,中立 (0.235),0.235
479,サウジリーグの年俸ベスト3 クリロナ320億円 ベンゼマネイマール160億円,neutral (0.760),0.76,強く反対 (0.240),0.24
480,何でリーグアンばかり攻撃されてんだ 唯一のメガクラブPSGがカタールのチームだからか,neutral (0.784),0.784,強く賛成 (0.228),0.228
481,そもそもネイマールはアル・ヒラルに移籍して以降故障の影響で国内リーグ2試合しか出てないんだからリーグのレベルをどうこう言うのはおかしい,neutral (0.703),0.703,強く賛成 (0.227),0.227
482,フランス代表ってリーグアンもいるじゃん PSGとかマルセイユとかニースとかに,neutral (0.793),0.793,強く反対 (0.238),0.238
483,アンの首位PSGがCLで現在25位という事でね,neutral (0.793),0.793,中立 (0.241),0.241
484,CLならブレストが7位じゃん,neutral (0.776),0.776,強く反対 (0.232),0.232
485,有力選手が集まってるからサウジの代表クラスでも試合に出場できない問題はあるみたいだけどその影響なのかW杯予選でも苦戦してるな,neutral (0.783),0.783,強く賛成 (0.224),0.224
486,サウジアラビアってクリロナとネイマールのとこの2強じゃないの セルティックのとこみたいな感じだろ 全体でレベル高いか,neutral (0.743),0.743,強く反対 (0.236),0.236
487,その2つとベンゼマカンテのチーム フィルミーノマフレズのチームで4強 この4チームは王室の支援受けてる,neutral (0.770),0.77,強く反対 (0.256),0.256
488,2019のアル・ヒラルは強かったな ACL1st見てレベルの違いに驚愕した 案の定2ndもボコられたしな埼スタのサポの熱気に圧倒されてミスらねえか期待したが甘くなかったな,neutral (0.788),0.788,強く反対 (0.222),0.222
489,2022年は浦和がアルヒラルに勝って優勝したし 2023年はアルヒラルはアルアイン(UAE)に負けたよな,neutral (0.790),0.79,強く反対 (0.231),0.231
490,リアル廃課金って感じだけどいつまで続くかな,neutral (0.773),0.773,強く反対 (0.237),0.237
491,金積んでスター選手かき集めて豪華なリーグにした一方で かえって国内選手が出場機会奪われてサウジ代表弱くなるという本末転倒してるからなサウジ 34年に合わせてリーグの方向性少し考えてくんじゃないの,neutral (0.743),0.743,強く賛成 (0.232),0.232
492,欧州の選手もやってるんだろうけど何故かこの手の発言は特にブラジル人選手に多い気がするわ,neutral (0.716),0.716,中立 (0.227),0.227
493,リーグ・アンはCLでも結構頑張ってるやろ,neutral (0.749),0.749,強く反対 (0.225),0.225
494,でもリーグアンの今シーズンに限ったUEFAポイントは欧州7位なんだよな・・・ CLも対戦相手に恵まれただけで実際は弱いしリーグアンのレベルが低いのは間違いなさそう,neutral (0.792),0.792,強く反対 (0.220),0.22
495,負け惜しみにしか聞こえないのが哀しいね 全盛期に何もできなかったのがな ライバルメッシバルサでご奉公からブラジル代表での無活躍10番 金目当ての低レベルリーグ移籍 金しか残らないキャリアだわ,neutral (0.796),0.796,強く反対 (0.237),0.237
496,サウジリーグとリーグアンはPSGのメンバー見ても同じくらいっしょ どちらが上だろうが下だろうが最高にどうでも良いと思うよ,neutral (0.704),0.704,強く賛成 (0.230),0.23
497,フランスはリヨンが強かった時が1番真っ当だった PSGがやり過ぎておかしくなった,neutral (0.729),0.729,中立 (0.234),0.234
498,そういうのはACLで無双してから言わないと 今でも強いは強いけど無双ではないよな,neutral (0.719),0.719,強く反対 (0.241),0.241
499,ネイマールはケガで長期療養だったから サウジの国民に少しでも反感を持たれないように ゴマをすってるのかもしれない スムーズに移籍したいんだろう,neutral (0.684),0.684,強く反対 (0.231),0.231
500,内容,neutral (0.838),0.838,強く反対 (0.226),0.226
501,Skyの現地ニュース番組でラッシュフォードがドルトムントにローンの可能性とカゼミロが退団希望で良いオファーがあればサウジの可能性ってあるがまぁあくまで噂やな,neutral (0.768),0.768,強く賛成 (0.246),0.246
502,ドルトムントにローンて意味あんのか サンチョみたいにどうせ買い取らないで終わりだろ,neutral (0.815),0.815,中立 (0.228),0.228
503,サンチョとかマートセンは欲しかったけど高すぎてやめただけだろ,neutral (0.785),0.785,中立 (0.225),0.225
504,ラッシュフォードなんて尚更高いだろ,neutral (0.728),0.728,強く反対 (0.233),0.233
505,他のチームは着々と強化したり不要戦力放出したりの算段がついてきてるのに俺らは未だにラッシュが動かないと何もできないのかよ,neutral (0.724),0.724,強く賛成 (0.231),0.231
506,ラッシュミラン行きそうなのか レオンいるのに思考回路がマジでよくわからん,neutral (0.778),0.778,中立 (0.239),0.239
507,ラッシュに手を挙げたのは今のところミランとドルか 絶対買い取りはしないやつらだな,neutral (0.737),0.737,中立 (0.230),0.23
508,イタリアの昇格クラブがラッシュを狙う,neutral (0.718),0.718,強く反対 (0.226),0.226
509,ラファエルレオンがラッシュのインスタフォローし始めたの草 ミランか,neutral (0.803),0.803,強く賛成 (0.254),0.254
510,ミランにラッシュの給料払えるんか,neutral (0.729),0.729,強く反対 (0.221),0.221
511,そんなんユナイテッド負担に決まってますやん どこの誰が不満分子で一刻も早く放出したい状態のチームに給料渡して引き取っていくんだ,neutral (0.715),0.715,強く賛成 (0.221),0.221
512,ラッシュマジで争奪戦になってるやん 噂になってる中ならコモかスパーズなら金払えるぞ ミランとかユベントスとかドルトムントみたいな貧乏クラブは相手にすんなよ,neutral (0.771),0.771,強く反対 (0.228),0.228
513,まぁネックの高額年俸を23割負担するだけで1シーズンお試し出来るならどこのビッグクラブもそら試したいやろなwww,neutral (0.735),0.735,強く反対 (0.231),0.231
514,本人はドルトムントに興味なし 移籍するならミラン一択みたいな感じっぽいな 半年レンタルで何か変わるとも思ってないけどコンセイソンイブラと鬼教官の監視下でどこまで頑張れるか興味はある,neutral (0.763),0.763,強く反対 (0.231),0.231
515,マクトミネイがセリエで無双できてるんだからラッシュは普通にゴール量産する気がする プレス緩ければまだドリブルできるでしょ,neutral (0.711),0.711,強く反対 (0.223),0.223
516,何かクヴァラツヘリアが今冬にパリ行きが現実味増してきてるみたいだけど その後釜にナポリがラッシュを完全移籍で取るという神展開来ないですかねぇ・・・,neutral (0.750),0.75,強く反対 (0.227),0.227
517,買い取りオプションローンの給与負担8割ユナイテッド持ちならあり得る,neutral (0.762),0.762,強く反対 (0.243),0.243
518,ナポリさんマーカスくんには興味ないそうです,neutral (0.753),0.753,強く反対 (0.242),0.242
519,ミランのオカフォーライプツィヒ行き決まった これでラッシュ動くか,neutral (0.738),0.738,強く反対 (0.221),0.221
520,ラッシュはバス止めカウンターチームで前線に張ってるのか1番活躍出来そうなんだけどな 守備のリスクも減るし,neutral (0.701),0.701,強く反対 (0.222),0.222
521,ミラノダービー見たけど今のミラン結構前からいく感じだったけどハマるかね あとレオンはイメージよりずっと守備してた,neutral (0.705),0.705,強く反対 (0.231),0.231
522,ラッシュがCFできるとミランサポ言っててくさ,neutral (0.708),0.708,中立 (0.221),0.221
523,ミランユニくっそ似合いそう,neutral (0.798),0.798,強く反対 (0.245),0.245
524,新チームで半年くらいなら守備するやろ,neutral (0.763),0.763,強く反対 (0.226),0.226
525,プレミアだと通用しなくてもセリエだと活躍する脳筋は多いから普通に活躍するやろ,neutral (0.767),0.767,強く反対 (0.219),0.219
526,個人的にはセリエもCLでも死ぬほど活躍して欲しいけどな,neutral (0.792),0.792,強く反対 (0.230),0.23
527,世界的実業家として知られる米国人のイーロン・マスク氏(53)がイングランド・プレミアリーグで日本代表MF遠藤航(31)の所属するリバプール買収に意欲を示している スペースX社やテスラ社など世界的な企業を傘下に収めるマスク氏がリバプールの取得にも意欲を示している中父のエロール・マスク氏はリバプールを買いたいと表明したのは事実とした上で彼の祖母はそこ(リバプール)で生まれてそこには親戚もいる私もぜひそうしたいと思っていると話すなどマスク一族の願望でもあるようだ そんな中海外メディアSLOBODENPECATは億万長者の父親の声明に加えて現リバプールの所有者に送るオファー額は72億ユーロ(1兆1736億円)になる資産4000億ユーロ(約65兆2000億円)と推定されていることを考えるとこれはマスク氏にとっては小さいことにすぎないだろうと報じた 昨年に同リーグのマンチェスター・ユナイテッドがクラブ売却に向けて入札を行った際の希望額が60億ポンド(1兆1700億円)だったと報じられていたマスク氏もマンUの買い取りに意欲を示していたこともあったがほぼ同額でクラブ買収提案を行うものとみられている 米経済誌フォーブスによるとリバプールの資産価値は43億ポンド(約8500億円)というリバプールを保有するフェンウェイ・スポーツ・グループは非売品と主張していると報じられている中今後の動向が注目される 関連スレ サッカーイーロン・マスク氏がリバプール買収に興味か父親彼は買いたいと思っている誰だってそうだろう [阿弥陀ヶ峰],neutral (0.722),0.722,強く反対 (0.236),0.236
528,サッカー好きだったんだ,neutral (0.741),0.741,強く反対 (0.240),0.24
529,典型的なメリケンの道楽じゃん Twitterみたいにチーム破壊されるぞ,neutral (0.754),0.754,強く反対 (0.243),0.243
530,今もリバプールはアメリカ人オーナーだし,neutral (0.765),0.765,中立 (0.234),0.234
531,そんな金あるのか スペースXのロケット事業に莫大な費用かかるのに,neutral (0.774),0.774,強く反対 (0.214),0.214
532,世界トップクラスの金持ちだろ,neutral (0.733),0.733,強く反対 (0.255),0.255
533,ツイッター買収額は5兆円なんでなんてことない トランプが選挙に勝ったことで資産も増えた,neutral (0.687),0.687,中立 (0.236),0.236
534,マスクの資産て68兆だぞ ただ1兆は高すぎる その半値で買って 選手補強や施設充実させてほしいね,neutral (0.741),0.741,強く賛成 (0.229),0.229
535,今のオーナーがどの程度の資産かか知らんが 殴り合って勝てる相手じゃないからなマスクは,neutral (0.771),0.771,中立 (0.223),0.223
536,FSGに文句言ってた奴らが掌返してるのはちょっと面白い マスクよりはマシか,neutral (0.726),0.726,強く反対 (0.222),0.222
537,強いチーム買ってどうするんだよ 過去のシティみたいに弱いチーム買い取って強くしてくれ リーガがいいな 3強だと少なくてつまらん,neutral (0.780),0.78,強く反対 (0.240),0.24
538,エヴァートンじゃダメなん マンCみたいに弱い方強くした方が盛り上がるやろ,neutral (0.752),0.752,強く反対 (0.233),0.233
539,ロンドンのクラブの方角良いと思う なんでマンチェスターとかリヴァプールみたいな 地方狙うんだろう,neutral (0.740),0.74,強く反対 (0.239),0.239
540,記事くらい読め祖母の出身地でゆかりの地だ 今も親戚が住んでいる土地柄,neutral (0.783),0.783,強く反対 (0.234),0.234
541,そこまでの縁でも無かろうに,neutral (0.771),0.771,中立 (0.222),0.222
542,おばあちゃんの生まれ故郷の世界的フットボールクラブを買うなんて男の夢だろ素晴らしいわ,neutral (0.759),0.759,強く反対 (0.236),0.236
543,ビッグクラブオーナー マンチェスターシティ アブダビ王族 マンチェスターユナイテッド イギリス人オーナー リヴァプール アメリカ人オーナー アーセナル アメリカ人オーナー トッテナム アメリカ人オーナー チェルシー アメリカ人オーナー(兼ドジャースの共同オーナー),neutral (0.764),0.764,強く反対 (0.257),0.257
544,リヴァプールのオーナーは売りたがってたんとちゃうの,neutral (0.734),0.734,強く賛成 (0.229),0.229
545,リバポの現オーナー会社の代表もアメリカ人で ボストンレッドソックスのオーナーでもあるけど リバポは売らないと言ってるらしいね,neutral (0.739),0.739,強く賛成 (0.244),0.244
546,マスク買収ネタがネタじゃなくなりつつあるな,neutral (0.796),0.796,強く反対 (0.250),0.25
547,イーロン・マスクはリアルプロシュートアニキ 有言実行 買収間違いないぞ 一兆超えが事実なら完全に売り時 次そんな景気の良いこと言って来る買い手が来るなんて分からないから間違いなく売る,neutral (0.755),0.755,強く反対 (0.236),0.236
548,ドケチなヘンリーよりイーロン・マスクのほうがいいな 早く売れ,neutral (0.759),0.759,強く反対 (0.224),0.224
549,イーロンマスクてマンユーのファンで買えなかったからどこでも良いのか アンフィールドがXフィールドなんて名前になったら嫌だ,neutral (0.716),0.716,強く賛成 (0.226),0.226
550,アンフィールドX,neutral (0.741),0.741,強く反対 (0.253),0.253
551,オマール・マルムーシュはマンチェスター・シティと契約する見込みだ(出典 ) うおおおおお1,neutral (0.748),0.748,強く反対 (0.243),0.243
552,マルムシュ嬉しすぎんよ,neutral (0.799),0.799,強く反対 (0.233),0.233
553,CL考えたら獲得できる枠は3つしかなくてその内1つ使って前補強すんのありえないだろ ディフェンスライン2枚とCH枚しか考えられん,neutral (0.733),0.733,強く反対 (0.223),0.223
554,マルムシュは冬じゃなさそうなんだな,neutral (0.792),0.792,中立 (0.228),0.228
555,そうなのか 冬に獲得する3選手のうち最初の一人って書いてるの見たからてっきり冬かと,neutral (0.840),0.84,強く反対 (0.242),0.242
556,マンチェスター・シティがアイントラハト・フランクフルトのストライカーオマール・マルムーシュに夏移籍のオファーを出したとFoot Mercatoが報じているアーセナルトッテナム・ホットスパーリヴァプールもこの25歳の選手に興味を示しておりマルムーシュはシティのプロジェクトに興奮しているようですでに経営陣と話し合っているようだ,neutral (0.650),0.65,強く賛成 (0.245),0.245
557,マルムシュって左に張らせるタイプでもないから ほぼほぼアルバレスの後釜だろうけど そこなんだ,neutral (0.772),0.772,中立 (0.243),0.243
558,失点も問題やが点とれないのも問題なのでマルムシ来るなら喜ばしい ボブ復帰は2月らしいし,neutral (0.706),0.706,強く賛成 (0.218),0.218
559,ブンデスMVPデブライネ獲った時くらいの期待感だよマルムシュ ぜひシティでやろう,neutral (0.743),0.743,強く反対 (0.233),0.233
560,そんなにか ほぼシティのゲームしか見ないから評価できるほどわからんぜ,neutral (0.734),0.734,強く反対 (0.225),0.225
561,速報 ManCityオマール・マルムーシュの獲得に向けてアイントラハト・フランクフルトと合意に近づいており同選手に約5000万ポンドを支払う用意がある [経由 ] エジプトの子マジできそうやん,neutral (0.701),0.701,強く反対 (0.255),0.255
562,冬に獲ったらアホと言わざるを得ない,neutral (0.716),0.716,強く反対 (0.228),0.228
563,先に取るべきは中盤だろどう考えても 大丈夫かマジで,neutral (0.793),0.793,中立 (0.233),0.233
564,アルバレスマルムシュ デブライネ ウォーカー ギュンドアン ストーンズ アケ グリ ベルナルド 一気に入れ替えになるな そもそもおっさんすぎるんよスカッドが,neutral (0.793),0.793,中立 (0.222),0.222
565,メイヌーが週給20万ポンド要求してて フロントは売りに出そうとしてるらしい,neutral (0.742),0.742,強く賛成 (0.250),0.25
566,それデイリーメールの記者だから信用度は落ちる そもそも昨年契約したばっかで2027年1年オプション付きだしメイヌー,neutral (0.771),0.771,強く賛成 (0.236),0.236
567,なら売ればいいよ,neutral (0.797),0.797,中立 (0.227),0.227
568,メイヌー俺はマウントより試合に出てるんだぞ,neutral (0.713),0.713,強く反対 (0.239),0.239
569,前例があるのに同じ失敗を繰り返す 次はどういう失敗をするのかな,neutral (0.728),0.728,強く反対 (0.236),0.236
570,オンスタからも来てるな 主にPSR遵守するには純利益になれるガルナチョメイヌーの売却も検討してるって内容だけど 誰か売らないと補強は厳しそうだ,neutral (0.729),0.729,強く賛成 (0.231),0.231
571,まぁさすがにガルナチョとメイヌーならポジション的にガルナチョの方が売られそうだけどな メイヌーは出さないと思うが 一番はラッシュを売れる事なんだけどねぇ,neutral (0.704),0.704,強く反対 (0.229),0.229
572,ロマーノオンスタもメイヌーでも売らないとユナイテッドは財政違反になるという発言来たな チェルシーが高値で買い取ってくれるようだが,neutral (0.702),0.702,強く賛成 (0.255),0.255
573,チェルシーはマウントを買ってくれよ,neutral (0.750),0.75,強く反対 (0.245),0.245
574,メイヌー程度の成績で週給20万ポンドなんてチェルシーが出すわけないから買うところないわ PSRのためにチェルシーがアカデミー選手を売りまくったように売らなきゃ選手入れ替えのための使えるお金の枠がないのは同じだなこれは,neutral (0.694),0.694,強く反対 (0.238),0.238
575,メイヌーの脱出計画は果たしてどうなるのか,neutral (0.706),0.706,強く反対 (0.215),0.215
576,厳密には来季以降の補強の為に売りたいって感じだろ 現時点では違反してないし,neutral (0.707),0.707,強く賛成 (0.234),0.234
577,つうかコアサポがオーナー批判してるな さすがにユース産のメイヌーはアンタッチャブルだったか,neutral (0.798),0.798,強く賛成 (0.232),0.232
578,メイヌーはチェルシー行きたい,neutral (0.818),0.818,強く反対 (0.266),0.266
579,パーマーとトレードならいいよ,neutral (0.721),0.721,強く反対 (0.238),0.238
580,チケット代値上げ 社員大幅リストラ サポにサブスク強要 でアンタッチャブルなアカデミー産まで売ろうとしてるわけよ イネオスの信念ってのは金儲けだけなのか,neutral (0.809),0.809,強く賛成 (0.225),0.225
581,メイヌー週給200k要求 お別れの準備しないとね,neutral (0.767),0.767,中立 (0.240),0.24
582,そういうの呑んだら調子乗るからキッパリとはねつけないと,neutral (0.709),0.709,強く反対 (0.235),0.235
583,そりゃお別れやな さっさと売っていい,neutral (0.845),0.845,強く反対 (0.221),0.221
584,カゼミロ350k ブルーノ300k ラッシュ300k マウント250k アントニー200kメイヌーの要求額 デリフト195k マグワイア190k,neutral (0.863),0.863,強く賛成 (0.220),0.22
585,チーム内で比較して高い安いになるからなあ 活躍すれば気前よく上げてくれるクラブなんだからもうちょい安い金額でのんでくれよ マウントとアントニーは負の遺産だわ,neutral (0.726),0.726,強く反対 (0.227),0.227
586,PSR遵守のためにアカデミー産選手を売る可能性があるというのはオンスタが言っていること メイヌーが週給20万ポンド要求チェルシーが獲得狙っているはデイリー・メールの記者が言ってること,neutral (0.672),0.672,強く賛成 (0.248),0.248
587,まぁ残る理由が金しか無いな,neutral (0.771),0.771,強く反対 (0.221),0.221
588,ちっちゃい頃からユナイテッドアカデミーに居るから お前の発想は次元が低すぎる,neutral (0.779),0.779,強く賛成 (0.240),0.24
589,1人でも高い給料払ったら代理人は高額要求するのなんて当たり前だからな新戦力だけじゃなくたいした活躍してないやつも意味不明な延長してバカみたいな金を払い続けてるフロントがくそ本当に替えの効かないエース格以外は給料渋って放出すんのが普通の賢いクラブ,neutral (0.731),0.731,強く賛成 (0.230),0.23
590,メイヌーはそんくらいの価値あるかもしれんけどまだ10代だからな 下手したらキャッシュフォードみたいになっちゃうから,neutral (0.777),0.777,強く反対 (0.222),0.222
591,デイリーメールソースの時点で馬鹿馬鹿しいが 仮にメイヌー(現在週給2万ポンド)の望む週給20万ポンドで延長したら ラッシュコース不可避ですなぁ ちなみにラッシュは18歳で週給2万ポンド21歳で週給20万ポンド そして26歳で現在の週給30万ポンドになりましたとさ,neutral (0.739),0.739,強く賛成 (0.226),0.226
592,逆にラシュフォードという前例があるのになぜバカバカしいと一蹴できるぼか ラシュフォードのときより大幅に成績悪化して残留する価値も下がってるんだから 何ならもっと高給要求してもおかしくないだろ,neutral (0.711),0.711,強く賛成 (0.230),0.23
593,チェルシーのやつらは若くて4大リーグで既に活躍した実績あるやつがほとんどだからまだ買い手がつくけどユナイテッドはパフォーマンスがくそな上にろくな実績ないか年齢も給料もアホみたいに高くて売れない,neutral (0.719),0.719,強く反対 (0.225),0.225
594,今となっては禁止された8年契約で給料抑えているのが大きいな,neutral (0.719),0.719,強く反対 (0.228),0.228
595,別に禁止されてないよ 財務ルールの計上が5年換算になっただけ,neutral (0.780),0.78,強く賛成 (0.223),0.223
596,メイヌーチェルシーは眉唾だがメイヌークラスを売らなきゃルール違反になる財務状況というのはオーンスタインが断言している以上ほぼ間違いない アモリム用のスカッドとか夢のまた夢だな,neutral (0.741),0.741,強く反対 (0.226),0.226
597,インドネシアサッカー協会(PSSI)は8日同国代表の新監督にパトリック・クライファート氏が就任することを発表した FIFAワールドカップ26アジア最終予選で日本代表と同じグループCに入ったインドネシア代表は第6節終了時点で1勝3分2敗・勝ち点6の3位につけているしかし昨年12月に開催された東南アジアカップ(三菱電機カップ)ではベトナム代表とフィリピン代表の後塵を拝する形でグループステージ敗退の憂き目に6日には2020年から指揮を執っていたシン・テヨン監督の解任が発表されていた 3月のアジア最終予選の再開を約2カ月後に控えPSSIはクライファート氏をインドネシア代表の新監督に任命したことを発表契約期間は2027年までとなっているなお同氏がアジアのナショナルチームの監督を務めるのは今回が初となる 現在48歳のクライファート氏は現役時代にアヤックスやミランバルセロナなどで活躍しオランダ代表として国際Aマッチ通算79試合出場40ゴール7アシストをマーク2008年の引退後はAZやブリスベン・ロアーNECのコーチを経て2012年夏にオランダ代表のアシスタントコーチに就任しルイス・ファン・ハール監督とともにFIFAワールドカップブラジル2014でのベスト4進出に貢献した その後はアヤックスの下部組織の監督やパリ・サンジェルマン(PSG)のスポーツディレクターバルセロナのアカデミーマネージャーなどを歴任直近では2023年7月から12月までトルコのアダナ・デミスポルを率いていた なおインドネシア代表は昨年11月にホームで日本代表と対戦し04で敗北今年6月10日には再戦が控えている,neutral (0.728),0.728,強く反対 (0.223),0.223
598,インドネシアのオランダ化,neutral (0.796),0.796,強く反対 (0.245),0.245
599,クライファート懐かしいな,neutral (0.791),0.791,強く反対 (0.238),0.238
600,ダメそうな予感しかない,neutral (0.723),0.723,中立 (0.250),0.25
601,韓国人監督で上手くまわってるよーにみえてたけど,neutral (0.768),0.768,強く賛成 (0.243),0.243
602,息子は活躍しとるか,neutral (0.818),0.818,強く反対 (0.233),0.233
603,息子 EPLで普通にやれてるだけでも成功したと言えるじゃないかと ただ父を超えるのは無理だろうな 偉大過ぎる あの時代の選手を父にもつ2世選手が今イタリアに大集合してる 特にユーヴェ,neutral (0.747),0.747,強く反対 (0.241),0.241
604,絶対非オランダ系から不満出るわ 成績悪かったらナショナリズムでブッ叩かれる,neutral (0.770),0.77,強く反対 (0.245),0.245
605,どんなサッカーすんだろ ファンハールみたいなポジションガチガチのシステマチックなスタイルかな,neutral (0.799),0.799,強く反対 (0.228),0.228
606,クライファートが監督ならインドネシア代表でプレーしてもいいよっていうオランダ人目当てでもあるのか,neutral (0.740),0.74,強く賛成 (0.254),0.254
607,そういう選手もいるだろうけどめぼしいのは既にオランイェで何試合も出場して他の代表になれる資格がないだろうね いいとこU代表止まりぐらいしか呼べないと思う,neutral (0.723),0.723,強く反対 (0.229),0.229
608,スタメンで地元勢は2人ぐらいだから オランダ人監督連れてくるのは自然な流れだけど,neutral (0.708),0.708,強く賛成 (0.241),0.241
609,サッカーなんてW杯優勝国でも一歩進んで二歩下がるのが当たり前なのに結局一足飛びしようとして失敗から得られる経験すら手放すんだな,neutral (0.734),0.734,中立 (0.221),0.221
610,まだ若いからなのか知らんけどコーチングキャリアが アシスタントだのユースだので本格的な監督仕事が少ないね,neutral (0.750),0.75,強く賛成 (0.249),0.249
611,有名だけど無能な監督を連れてきたな まだ前任の韓国人の方がマシだと思うぞ,neutral (0.712),0.712,強く賛成 (0.248),0.248
612,オランダ化を加速する方針で決めたんだな クライファートがオランダ25軍で満足出来るかどうか,neutral (0.676),0.676,強く反対 (0.219),0.219
613,オランダA代表はとても無理な選手を集めて帰化させるのか まあそれも一つの方法ではあるけどさあw,neutral (0.719),0.719,強く反対 (0.240),0.24
614,つか日系インドネシア人も居そうだけど Jリーガーに居ないのかな,neutral (0.707),0.707,強く賛成 (0.226),0.226
615,松田力・陸がインドネシアハーフだけど日本は2重国籍を認めてないから無理だわな,neutral (0.837),0.837,中立 (0.230),0.23
616,2人ともA代表歴はないから資格はあるよ ただしその場合は日本国籍を捨てる(インドネシアサッカー協会所属になる)ことが条件だけど 猫ひろしみたいに,neutral (0.760),0.76,強く反対 (0.225),0.225
617,日本代表を目指す目指さない以前に日本国籍を捨てるデメリットの方が大きいな インドネシア代表にならない限りインドネシア国籍選ぶメリット無いだろ,neutral (0.759),0.759,強く反対 (0.265),0.265
618,家庭があるし子供からしたらいきなりインドネシア国籍とか嫌だろね 彼らは代表で十分やれるだろうけど 年齢的にこれがラストチャンスだね,neutral (0.768),0.768,強く反対 (0.230),0.23
619,日本に勝つ気なら無能確実に崩壊する W杯出場目指すなら普通がんばれ,neutral (0.789),0.789,強く反対 (0.222),0.222
620,本命は両親ともインドネシア系のファン・ブロンクホルストなんだろうけど 今はベシクタシュでやってるからな(あんまり成績良くないから切られるかもしれんが) クライフェルトの後とかいずれはやると思う,neutral (0.759),0.759,強く反対 (0.245),0.245
621,八塚さんが小錦認定してた人か いつぞやの試合のベンチに座ってる顔がそっくりやったな,neutral (0.796),0.796,強く反対 (0.240),0.24
622,でも実際いい選択じゃないのオランダ帰化連中はかなりプライド高いんだろうな クライフェルトは飾りでコーチ連中が優秀な感じなんだろうな クライフェルトなら逆らえないんだろう,neutral (0.748),0.748,強く反対 (0.246),0.246
623,インドネシアは次はオーストラリアとバーレーンだっけ,neutral (0.802),0.802,強く反対 (0.240),0.24
624,そそ アウェイOZの後でホーム6月はホーム中国アウェイ日本,neutral (0.846),0.846,強く反対 (0.234),0.234
625,有名じゃなくても結果残してる監督選べばいいのに ミーハーなんだろうな会長が,neutral (0.731),0.731,強く賛成 (0.225),0.225
626,オランダ路線継続か,neutral (0.802),0.802,強く反対 (0.247),0.247
627,強すぎてワロタ 一体何連勝してるんだ今,neutral (0.797),0.797,中立 (0.237),0.237
628,まリーグは中位以下相手だから多少はね,neutral (0.803),0.803,強く賛成 (0.224),0.224
629,ドゥブラフカありがとう,neutral (0.815),0.815,強く反対 (0.246),0.246
630,エミレーツでの初勝利ブルーノなしでの初勝利しかも20 まじで強くて草 ブルーノが子供抱きながらチャント歌ってる動画かわええ,neutral (0.752),0.752,強く反対 (0.236),0.236
631,これずっと見てられるw,neutral (0.750),0.75,強く反対 (0.233),0.233
632,ホームでこれは痛いな 中の雰囲気相当悪そう,neutral (0.697),0.697,強く反対 (0.253),0.253
633,サカがいないって こういうことだよね,neutral (0.771),0.771,中立 (0.242),0.242
634,U字攻撃しかやらんから対策されてんだよ,neutral (0.755),0.755,強く反対 (0.229),0.229
635,ライン間で前向ける選手がいないからね,neutral (0.757),0.757,強く反対 (0.236),0.236
